hospital,highest_bill
Adams-Castro,7562.90
Adams-Chase,12786.12
Adams-Clark,27604.70
Adams-Cortez,12813.98
Adams-Daugherty,21184.28
Adams-Dean,20445.47
Adams-Dominguez,36690.07
Adams-Ferguson,18181.04
Adams-Flynn,44196.91
Adams-Gallegos,34085.72
Adams-Garza,24312.49
Adams-Gates,41706.38
Adams-Gomez,27840.78
Adams-Hale,31203.13
Adams-Harper,33690.76
Adams-Harrington,51055.71
Adams-Harris,28605.61
Adams-Henry,15422.67
Adams-Hicks,31803.72
Adams-Hinton,50687.83
Adams-Howard,37664.09
Adams-Jackson,31875.57
Adams-Johnson,14812.65
Adams-Kim,46094.98
Adams-Krause,51144.92
Adams-Lee,38656.08
Adams-Marquez,6114.08
Adams-Martin,41294.72
Adams-Massey,43088.56
Adams-Mcclure,10399.75
Adams-Mcgrath,9478.33
Adams-Mendoza,38864.55
Adams-Mitchell,22922.30
Adams-Molina,21576.50
Adams-Nash,35345.74
Adams-Ortega,10558.40
Adams-Reynolds,31592.34
Adams-Rice,22000.88
Adams-Richardson,18445.50
Adams-Rodriguez,3467.37
Adams-Salazar,8622.67
Adams-Savage,29683.96
Adams-Simmons,39988.48
Adams-Smith,30151.50
Adams-Stewart,8471.17
Adams-Stuart,28118.44
Adams-Thompson,37041.51
Adams-Valencia,20264.21
Adams-Vazquez,33126.96
Adams-Velasquez,6481.97
Adams-Velez,31350.36
Adams-Woods,6929.71
"Adams, and Colon Green",9879.05
"Adams, and Daniels Rogers",2675.09
"Adams, and Jackson Greer",37270.26
"Adams, and Johns Molina",47435.22
"Adams, and Joseph Williams",48393.46
"Adams, and Rodriguez Wright",30777.23
"Adams, Bowers Escobar and",49191.65
"Adams, Christian and Perry",9867.97
"Adams, Collins Simmons and",22255.45
"Adams, Hayes and Gardner",14695.31
"Adams, Hendricks Collins and",8200.79
"Adams, Mcgee Brown and",33686.05
"Adams, Proctor Evans and",26533.25
"Adams, Randall Powers and",39471.35
"Adams, Ross Edwards and",35301.15
"Adkins Group",7361.44
"Adkins Hale Mueller, and",31562.08
"Adkins Inc",45899.81
"Adkins Knapp and Richards,",3470.76
"Adkins LLC",43841.35
"Adkins PLC",44660.89
"Adkins Sons and",28626.48
"Adkins Torres Graves, and",41364.04
"Adkins Wade Simmons, and",42071.04
Adkins-Avila,23284.18
Adkins-Black,15876.24
Adkins-Cantu,38421.24
Adkins-Carter,15695.39
Adkins-Cox,28559.16
Adkins-Gonzalez,48237.40
Adkins-Griffin,18795.19
Adkins-Holmes,40338.77
Adkins-Jackson,30272.60
Adkins-Martin,20283.37
Adkins-Scott,3852.41
"Adkins, and Morrow Russo",41525.93
"Adkins, Garcia Pratt and",13204.25
"Adkins, Guerrero and Kelly",2579.01
"Adkins, Logan and Johnson",13069.81
"Aguilar Adams, and Morrison",49348.81
"Aguilar Aguilar Tyler, and",43835.12
"Aguilar Cardenas and Frederick,",6611.76
"Aguilar Group",37990.33
"Aguilar Guzman, and Pratt",31250.55
"Aguilar Inc",15877.62
"Aguilar Kim and Baker,",7904.35
"Aguilar Klein, Thompson and",2242.77
"Aguilar Lawson and Joseph,",31374.31
"Aguilar Ltd",39645.32
"Aguilar Miller, Allen and",35507.92
"Aguilar Mullins and Schmidt,",27670.95
"Aguilar PLC",51731.66
"Aguilar Sons and",13945.10
Aguilar-Bass,14896.98
Aguilar-Blake,4661.63
Aguilar-Conley,38508.56
Aguilar-Ellison,28219.34
Aguilar-Freeman,44602.39
Aguilar-Guzman,37666.97
Aguilar-Harris,43502.03
Aguilar-Hill,47819.39
Aguilar-Howard,24049.26
Aguilar-Leonard,25065.03
Aguilar-Lopez,34859.71
Aguilar-Lowery,44938.46
Aguilar-Martinez,49735.31
Aguilar-Moreno,30451.24
Aguilar-Parsons,22218.53
Aguilar-Pearson,44187.65
Aguilar-Scott,24198.45
Aguilar-Silva,9169.67
Aguilar-Vega,23651.30
Aguilar-Waller,28899.31
"Aguilar, and Dean Williams",25046.04
"Aguilar, and Wilson Perez",35263.53
"Aguilar, Castaneda and Johnson",24132.34
"Aguilar, Schwartz and Molina",34764.37
"Aguilar, Spencer Sanders and",13913.05
"Aguirre Bell, and Ramsey",23923.29
"Aguirre Group",25041.35
"Aguirre LLC",43288.54
"Aguirre Ltd",39882.94
"Aguirre Turner, Reed and",17197.14
Aguirre-Christensen,50702.74
Aguirre-Davis,14594.94
Aguirre-Edwards,38846.53
Aguirre-Graves,9082.93
Aguirre-Pennington,48427.16
Aguirre-Perkins,9004.86
Aguirre-Pugh,50025.49
Aguirre-Rodriguez,35487.84
Aguirre-Sims,5367.37
Aguirre-Wang,47399.62
Aguirre-Williams,17139.19
"Alexander and Castillo, Mason",27773.27
"Alexander and Graham Jennings,",40185.48
"Alexander and Jensen Andrews,",3730.00
"Alexander Group",35174.90
"Alexander Hays, and Hernandez",32078.95
"Alexander Inc",31921.73
"Alexander Ltd",48385.90
"Alexander Martinez, Love and",47267.18
"Alexander Patton, Lowery and",39252.18
"Alexander PLC",32178.74
"Alexander Simmons and Martinez,",14648.17
"Alexander Turner, Stout and",32268.98
"Alexander Wagner and Hill,",13919.86
"Alexander Williams and Dixon,",24919.65
Alexander-Austin,16375.80
Alexander-Bradley,5745.70
Alexander-Brady,7885.14
Alexander-Brooks,35969.45
Alexander-Cantu,3666.84
Alexander-Duncan,45523.87
Alexander-Gallagher,42050.69
Alexander-George,10320.16
Alexander-Howard,41700.17
Alexander-Lopez,37858.96
Alexander-Manning,39849.79
Alexander-Mcdaniel,14465.14
Alexander-Middleton,38397.02
Alexander-Moore,42043.21
Alexander-Murphy,24562.01
Alexander-Nichols,14076.60
Alexander-Oconnor,41150.19
Alexander-Sanchez,45713.64
Alexander-Saunders,12646.92
Alexander-Silva,29527.81
Alexander-Smith,5075.78
Alexander-Snyder,26222.83
Alexander-Soto,6967.80
Alexander-Stone,20880.34
Alexander-Villa,6240.27
Alexander-Walker,50102.68
Alexander-White,24371.01
"Alexander, and Ewing Lopez",17672.31
"Alexander, and Norris Williams",46475.61
"Alexander, Baker Howell and",27182.70
"Alexander, Morris and Hayes",33418.31
"Alexander, Schneider and Wilson",5702.77
"Ali and Chambers, Dawson",11508.82
"Ali and Cox Johnson,",40115.17
"Ali and Sons",3973.15
"Ali and Vargas Montes,",27852.70
"Ali Fischer and Howe,",37643.65
"Ali Group",19720.04
"Ali PLC",28903.44
"Ali Sons and",19008.85
Ali-Adams,48015.58
Ali-Baird,13936.98
Ali-Byrd,49384.18
Ali-Harris,26999.38
Ali-James,17716.57
Ali-Marsh,10730.44
Ali-Warren,37400.33
"Ali, Cooper Gilbert and",24297.27
"Allen and Bell, Bell",15894.56
"Allen and Blackwell Morgan,",11689.47
"Allen and Decker, Gonzales",13080.33
"Allen and Duncan Wright,",32530.97
"Allen and Gray, Scott",7860.76
"Allen and Ho Wheeler,",35700.69
"Allen and Hodge Williams,",49225.85
"Allen and Holmes Schmidt,",46444.96
"Allen and Holt, Ford",11138.86
"Allen and Kelly Garrett,",38072.72
"Allen and Moore Holmes,",38385.73
"Allen and Page Graves,",14911.49
"Allen and Smith Tran,",33969.18
"Allen and Sons",42545.47
"Allen and Taylor, Matthews",8088.27
"Allen and Valdez, Cantrell",3937.45
"Allen and Warren Johnson,",17432.58
"Allen and Wilson Rollins,",48564.86
"Allen Baker, Ross and",37801.89
"Allen Black, and Collins",39325.20
"Allen Campbell, and Hurst",1583.38
"Allen Carney and Heath,",28848.27
"Allen Castro and Hill,",30204.03
"Allen Davis Todd, and",24101.20
"Allen Decker Taylor, and",42029.96
"Allen Garcia and Wolf,",25702.30
"Allen Garcia, Johnson and",9728.73
"Allen Gonzales and Hill,",45086.93
"Allen Group",47698.37
"Allen Harrington Grant, and",22053.98
"Allen Hurst, Gonzalez and",6640.90
"Allen Inc",43879.66
"Allen Johnson, Meyers and",38891.29
"Allen LLC",22986.46
"Allen Ltd",37315.46
"Allen Orr, and Frye",27475.62
"Allen Parker and Estes,",12448.69
"Allen Payne, Hamilton and",7555.25
"Allen Pearson and Kaiser,",31478.82
"Allen Pitts, Bryan and",44175.66
"Allen PLC",48331.98
"Allen Rodriguez, and Stewart",23090.35
"Allen Sons and",39697.64
"Allen Sparks and Soto,",30406.92
"Allen Stanley, Woods and",10994.08
"Allen Thompson, and Mcdonald",49749.74
"Allen Watson and Robinson,",18144.51
"Allen Watson Nguyen, and",17961.68
Allen-Allen,32.63
Allen-Anderson,37851.99
Allen-Austin,16253.36
Allen-Baker,30679.20
Allen-Bond,4676.29
Allen-Brown,14081.36
Allen-Byrd,7980.41
Allen-Campbell,47863.02
Allen-Cherry,11624.31
Allen-Cooke,9949.01
Allen-Copeland,11416.34
Allen-Cowan,41859.31
Allen-Crawford,28065.61
Allen-Cunningham,42499.47
Allen-Davenport,12473.49
Allen-Deleon,19013.67
Allen-Duran,24712.64
Allen-Evans,46853.55
Allen-Ferguson,9818.96
Allen-Fisher,44451.34
Allen-Ford,4478.27
Allen-Foster,17311.65
Allen-French,30351.12
Allen-Garcia,34771.42
Allen-Gomez,47988.08
Allen-Gray,50189.23
Allen-Hall,23713.85
Allen-Hernandez,48761.17
Allen-Hill,16731.42
Allen-Hoffman,30672.80
Allen-Holland,38982.35
Allen-Horn,9831.11
Allen-Horne,32066.24
Allen-Howell,4346.00
Allen-James,1831.71
Allen-Johnson,32615.70
Allen-Jones,29627.89
Allen-Leon,36258.22
Allen-Lowery,43439.29
Allen-Lynch,23511.67
Allen-Marshall,1593.27
Allen-Mcguire,20855.90
Allen-Mckee,1419.36
Allen-Moore,28680.41
Allen-Morales,1144.38
Allen-Mueller,40390.00
Allen-Newton,1210.08
Allen-Nguyen,32923.69
Allen-Ortiz,12239.54
Allen-Parrish,23569.42
Allen-Perez,41780.95
Allen-Powers,25939.74
Allen-Price,41176.15
Allen-Ramos,3945.24
Allen-Rice,26718.27
Allen-Rich,39960.48
Allen-Robertson,8531.69
Allen-Rodriguez,30002.31
Allen-Russell,745.29
Allen-Sawyer,3468.95
Allen-Scott,29467.88
Allen-Smith,4847.82
Allen-Spence,46320.14
Allen-Spencer,10256.48
Allen-Sullivan,14406.33
Allen-Taylor,10574.76
Allen-Torres,36480.59
Allen-Tucker,42596.80
Allen-Tyler,16971.18
Allen-Wallace,586.55
Allen-Walsh,32786.82
Allen-Wilson,38052.13
Allen-Wood,31488.03
"Allen, and Barnes Smith",42951.17
"Allen, and Blackwell Taylor",27731.52
"Allen, and Fischer Richardson",16231.99
"Allen, and Jackson Harrell",7773.54
"Allen, and Jensen Hurley",38867.03
"Allen, and Parker Lynch",17077.98
"Allen, and Rodriguez Randolph",45226.36
"Allen, and Velasquez Wilcox",10986.84
"Allen, Cantu Orozco and",39835.73
"Allen, Chaney Rice and",24874.75
"Allen, Cross and Collins",39691.60
"Allen, Davies and Mcintyre",34613.00
"Allen, Frank Moore and",34093.45
"Allen, Harrell Schmidt and",21085.73
"Allen, Jackson and Brown",44859.99
"Allen, Jackson and Walker",14310.08
"Allen, Jenkins Mcknight and",4909.02
"Allen, Johns and Holland",19210.03
"Allen, Johnson and Cooper",6242.87
"Allen, Miller and Reed",28090.03
"Allen, Quinn Mitchell and",4360.80
"Allen, Turner and Allen",15023.33
"Allen, Wall and Wade",2541.14
"Allen, Williams and Phillips",26612.01
"Allison LLC",48296.94
"Allison Ltd",38256.44
"Allison PLC",15593.00
"Allison Price Williams, and",49795.37
"Allison Rodgers Sullivan, and",957.45
"Allison Strong and Nixon,",4812.02
Allison-Bailey,34492.31
Allison-Black,39778.59
Allison-Cameron,38578.54
Allison-Moore,35149.38
Allison-Walters,15048.83
Allison-Williams,33653.65
"Allison, and Cruz Moore",35576.59
"Alvarado and Myers Smith,",17138.94
"Alvarado Inc",39783.91
"Alvarado LLC",46896.12
"Alvarado Mcmahon and Guerra,",4955.96
"Alvarado PLC",43545.52
"Alvarado Richard and Brown,",14949.39
"Alvarado Sullivan Miller, and",33378.64
Alvarado-Allen,44921.34
Alvarado-Bradley,44947.06
Alvarado-Carroll,10142.31
Alvarado-Deleon,27385.74
Alvarado-Delgado,40686.91
Alvarado-Elliott,8415.98
Alvarado-Gonzalez,3194.77
Alvarado-Lopez,4762.56
Alvarado-Martin,1077.17
Alvarado-Meza,34732.28
Alvarado-Prince,27277.20
Alvarado-Scott,6742.94
Alvarado-Smith,41817.31
"Alvarez and James, Mcintosh",36345.63
"Alvarez and Mullins, Barajas",6116.05
"Alvarez and Sanchez Taylor,",43664.11
"Alvarez and York Rocha,",14366.76
"Alvarez Austin Snyder, and",21513.53
"Alvarez Clark, and Francis",29585.99
"Alvarez Garcia, and Watkins",39214.32
"Alvarez Group",43728.55
"Alvarez Hayes Guzman, and",7221.30
"Alvarez Inc",45577.57
"Alvarez LLC",30826.49
"Alvarez Ltd",44168.24
"Alvarez Maldonado, and Oconnor",44408.95
"Alvarez Moss Smith, and",35263.41
"Alvarez PLC",46882.80
"Alvarez Sons and",36378.26
"Alvarez Wilson and Fry,",17159.42
Alvarez-Blair,6972.57
Alvarez-Chavez,8498.36
Alvarez-Craig,51293.41
Alvarez-Cruz,42956.13
Alvarez-Flynn,39123.35
Alvarez-Griffith,8805.04
Alvarez-Guerrero,33222.09
Alvarez-Harris,35318.70
Alvarez-Hays,8066.74
Alvarez-Henry,7612.78
Alvarez-Martin,19055.09
Alvarez-Mathews,13146.07
Alvarez-Miranda,18948.66
Alvarez-Nunez,32208.96
Alvarez-Olson,13022.69
Alvarez-Payne,38992.27
Alvarez-Perry,30035.02
Alvarez-Quinn,9205.77
Alvarez-Robinson,33055.74
Alvarez-Rogers,46403.07
Alvarez-Shelton,47945.54
Alvarez-Smith,37458.53
Alvarez-Valentine,27106.00
Alvarez-Vargas,48914.64
Alvarez-Young,8213.78
Alvarez-Zamora,17938.89
"Alvarez, and Lewis Jennings",9298.59
"Alvarez, Rogers and Kennedy",37845.38
"Alvarez, Ross and Hurst",34858.40
"Alvarez, Vasquez and Price",17200.39
"and Abbott Campbell Palmer,",171.90
"and Abbott Gross, Anderson",9892.25
"and Acevedo, James Ho",25428.30
"and Acosta, George Silva",27583.87
"and Adams Bautista, Roberts",38683.85
"and Adams Brown, Fuller",11235.25
"and Adams Brown, Love",45136.98
"and Adams Chavez Camacho,",5031.08
"and Adams Cole, Payne",48016.34
"and Adams Figueroa, Edwards",10233.22
"and Adams Hunt Bennett,",41157.18
"and Adams Martin, Sosa",28569.29
"and Adams Martin, Thomas",22654.84
"and Adams Morgan Livingston,",16560.50
"and Adams Orr Jones,",41703.87
"and Adams Reilly, Taylor",22133.58
"and Adams Rodriguez Hill,",29141.76
"and Adams Russo, Sexton",17631.81
"and Adams Sons",33579.41
"and Adams Walls Knight,",11717.07
"and Adams, Black Villegas",16631.91
"and Adams, Booker Buckley",27604.74
"and Adams, Evans Hill",8702.18
"and Adams, Graham Higgins",3703.37
"and Adams, Harris Kennedy",27498.03
"and Adams, Johns Duncan",25806.34
"and Adams, Johnston Brock",29313.98
"and Adams, Martin Franklin",4760.29
"and Adams, Patton Carter",43656.57
"and Adams, Perry Fitzpatrick",26879.59
"and Adams, Smith Gonzalez",26036.30
"and Adkins Bolton Manning,",48639.10
"and Adkins Porter, Benton",42764.84
"and Adkins Woods, Lowery",23441.08
"and Aguilar Carney, Cohen",40685.18
"and Aguilar Sons",45586.50
"and Aguirre Smith Williams,",46024.80
"and Aguirre Sons",17949.80
"and Alexander Crawford Graham,",27507.04
"and Alexander Espinoza Stone,",5953.11
"and Alexander Ferguson Munoz,",9080.71
"and Alexander Hall Powers,",19761.97
"and Alexander Hanson Johnson,",33220.63
"and Alexander Hunter, Thompson",22709.86
"and Alexander Knight Smith,",40495.08
"and Alexander Mullins, Hampton",45106.49
"and Alexander Wilkins, Baker",46235.73
"and Ali Snyder Hughes,",28847.11
"and Allen Anderson, Rivera",23698.71
"and Allen Bryant Carlson,",27857.48
"and Allen Conley Rhodes,",10749.77
"and Allen James Wolf,",47946.31
"and Allen Jennings, Branch",46670.46
"and Allen Mitchell, Soto",41129.80
"and Allen Reeves, Gross",35543.37
"and Allen Sons",31427.47
"and Allen Torres, Rice",36106.95
"and Allen Wright Ward,",40904.84
"and Allen, Baker Castro",15575.50
"and Allen, Davis Phillips",27561.30
"and Allen, Gonzales Johnston",38629.22
"and Allen, Jenkins Robinson",8073.09
"and Allen, Porter Edwards",22427.08
"and Allen, Roberts Evans",2606.94
"and Allen, Taylor Bennett",14843.25
"and Allen, Zavala Collins",12926.66
"and Alvarado Grant May,",26040.25
"and Alvarado Thomas Acosta,",49598.63
"and Alvarado, Nelson Wright",8635.21
"and Alvarez Banks, Munoz",19924.13
"and Alvarez Gilmore Wheeler,",4448.51
"and Alvarez Jennings Roberts,",2714.49
"and Alvarez Johnson, Nguyen",19757.20
"and Alvarez Lee Gay,",20820.17
"and Alvarez Sons",40573.01
"and Alvarez Stevens Cox,",31086.39
"and Alvarez Torres Osborn,",28311.36
"and Alvarez Tran, Ortiz",6182.35
"and Alvarez, Choi Jackson",9230.72
"and Alvarez, Cox Powers",392.91
"and Alvarez, Perkins Russell",38147.80
"and Andersen Edwards, Martinez",27711.40
"and Andersen Miller Jones,",36698.95
"and Andersen Strickland Ingram,",37358.11
"and Andersen, Molina Garcia",44260.00
"and Anderson Boyd Bennett,",1089.34
"and Anderson Boyd, Hardy",38145.32
"and Anderson Donaldson Aguilar,",45877.55
"and Anderson Flowers, Tucker",6596.19
"and Anderson Gentry, Esparza",32219.64
"and Anderson Gonzalez, Waters",32799.36
"and Anderson Hartman Flores,",36170.79
"and Anderson Irwin Whitney,",10954.57
"and Anderson Kennedy, Owens",44961.46
"and Anderson Lindsey Burgess,",11913.92
"and Anderson Lopez, Mitchell",8771.65
"and Anderson Mendez, Ortiz",11702.70
"and Anderson Middleton, King",9854.75
"and Anderson Nichols Whitaker,",25334.94
"and Anderson Smith Sanchez,",40598.42
"and Anderson Sons",45658.37
"and Anderson Turner Henderson,",48346.86
"and Anderson Williams Harrison,",44514.94
"and Anderson, Berry Franklin",21899.50
"and Anderson, Huff Ford",40646.35
"and Anderson, Hull Simon",37355.76
"and Anderson, Porter Becker",39448.89
"and Anderson, Richards Benson",469.53
"and Anderson, Scott Nelson",44409.94
"and Anderson, Smith Carr",26448.17
"and Anderson, Smith Woods",13067.20
"and Anderson, Stephens Rowe",22226.54
"and Anderson, Woods Woods",2421.98
"and Andrews Cole, Garcia",11335.31
"and Andrews Miranda Watson,",4786.78
"and Andrews, Armstrong Padilla",19862.16
"and Andrews, Flores Brady",32201.08
"and Anthony Hays Medina,",48991.87
"and Anthony Nelson, Griffith",47764.51
"and Anthony, Valdez Tapia",43526.02
"and Arellano Anderson, Bruce",21280.76
"and Arellano Parks Meyer,",12723.31
"and Arellano, Caldwell Mathis",16696.43
"and Arellano, Gill Jackson",36523.16
"and Arias, Hogan May",23336.26
"and Armstrong Ayers, Horne",39053.56
"and Armstrong Johnson, Foster",3492.21
"and Armstrong Sons",11979.62
"and Armstrong, Blair Zimmerman",18466.86
"and Armstrong, Taylor Burns",38755.95
"and Arnold Anderson, White",42453.38
"and Arnold Johnson Mccullough,",25704.99
"and Arnold Johnson, Edwards",42752.18
"and Arnold Meadows, Rivas",4268.80
"and Arnold Morales, Gonzales",42374.56
"and Arnold Sons",46146.49
"and Arnold Watkins Fleming,",10835.09
"and Arnold, Phillips Fox",48688.15
"and Ashley Decker, Hays",6108.55
"and Ashley Washington, Neal",22450.86
"and Atkins Barnes, Hall",24412.93
"and Atkins Hayden Hopkins,",22084.08
"and Atkins Mcintosh, Sanders",3735.71
"and Atkins Sons",45574.81
"and Atkins, Kelly Torres",16360.53
"and Atkinson Blevins, Stevens",36914.84
"and Atkinson Hanson Henry,",18621.24
"and Atkinson Perez, Allen",17486.93
"and Atkinson Wilson, Torres",9195.50
"and Austin Sons",25543.56
"and Avery, Jarvis Hopkins",32064.42
"and Avila Johnson Wood,",22961.86
"and Avila, Moss Caldwell",9713.91
"and Avila, Oconnor Brown",42387.75
"and Ayala Miller, Wilson",40240.31
"and Ayers King, Smith",34597.39
"and Ayers Swanson, Greer",11599.16
"and Ayers, Vazquez Rivers",46925.37
"and Bailey Barnes Vasquez,",47613.32
"and Bailey Dickerson Dalton,",5814.75
"and Bailey Douglas Davis,",44963.21
"and Bailey Garcia Spencer,",15686.43
"and Bailey Jones Robinson,",7938.59
"and Bailey Kennedy, Morales",11762.64
"and Bailey Martin, Graham",48412.54
"and Bailey Martin, Smith",5916.66
"and Bailey Meza, Jones",39318.32
"and Bailey Munoz, Hernandez",43058.19
"and Bailey Phillips, Wright",5923.90
"and Bailey Ramos, Webster",42095.55
"and Bailey Sawyer, Weiss",4508.97
"and Bailey Shea, Krause",24514.60
"and Bailey Thompson, Jacobs",33263.06
"and Bailey Williams Melton,",40367.90
"and Bailey, Baker Lewis",20145.03
"and Bailey, Martinez Cook",23301.04
"and Baird, Simmons Peters",37629.03
"and Baker Burns, Mccarthy",13469.66
"and Baker Davis, Brooks",6856.32
"and Baker Donovan Sherman,",10892.72
"and Baker Jones, Wilson",35949.12
"and Baker Kennedy Fuentes,",35319.94
"and Baker Rodriguez, Cameron",17339.84
"and Baker Salazar, Gonzalez",33064.08
"and Baker Sons",49893.87
"and Baker, Anderson Powell",10730.44
"and Baker, Combs Hill",11383.20
"and Baker, Elliott Olson",40735.98
"and Baker, Golden Rhodes",23052.21
"and Baker, Thompson Shelton",19875.17
"and Baldwin Lopez, Stewart",42425.93
"and Baldwin Mcneil, Simmons",42672.09
"and Baldwin Walker, Campbell",49299.55
"and Baldwin, King Stephens",10941.87
"and Baldwin, Wheeler Burns",15698.86
"and Ball Aguilar, Norton",27375.25
"and Ball Osborn, Horton",19923.32
"and Ball Ray, Hoffman",11377.34
"and Ball, Robinson Wade",39342.89
"and Banks Price, Chambers",36057.26
"and Barajas Jimenez, Daniel",13124.52
"and Barajas Santos, Jones",9161.74
"and Barber Johnson Coleman,",33028.74
"and Barber Johnson Rowe,",21802.26
"and Barber Schwartz Carr,",9431.73
"and Barker, Hill Sellers",43916.59
"and Barnes Cook Klein,",19111.36
"and Barnes Hubbard Dillon,",26459.96
"and Barnes James Williams,",46126.54
"and Barnes Scott Black,",43172.28
"and Barnes Stanley Murray,",31842.07
"and Barnes Thompson, Lopez",3597.51
"and Barnes, Deleon Williams",36415.01
"and Barnett Bradley, Henderson",15752.37
"and Barnett Ferguson, Palmer",20858.71
"and Barnett Sanders, Williams",19979.87
"and Barnett Sons",15900.19
"and Barnett, Quinn Stewart",12964.98
"and Barr, Bailey Davis",32266.31
"and Barrera Allen Burke,",33377.79
"and Barrera Anderson, Dunn",5418.13
"and Barrett Beck, Smith",38760.21
"and Barrett Scott Johnson,",43985.08
"and Barrett Sons",12681.13
"and Barrett, Crawford Williams",21830.45
"and Barrett, Johnson Estes",31962.23
"and Barrett, Johnson Miller",47042.20
"and Barrett, Parks Brown",30486.29
"and Barrett, Russell Phillips",3532.05
"and Barron Williams Castro,",26669.61
"and Barron, Norton Farmer",37124.77
"and Barry Duran Hall,",20425.83
"and Barry Smith, Sexton",16204.98
"and Barry White, Jones",41893.25
"and Bartlett Keller Wolfe,",29100.66
"and Barton Miller White,",18283.88
"and Barton Sons",29850.65
"and Barton, Patterson Burton",7418.44
"and Bates Meyer, Hernandez",44491.33
"and Bates Smith Wade,",23782.65
"and Bauer Bowman, Lutz",24397.32
"and Bauer Stevens Li,",8431.77
"and Bautista Webb, Wilson",36352.47
"and Bautista, Elliott Reyes",44617.95
"and Bautista, Johnson Allen",11763.47
"and Baxter Johnson Stanley,",14245.22
"and Baxter, Bradshaw Stanton",46210.08
"and Bean Sanchez Mills,",22222.12
"and Beard Carlson, Ortiz",5059.56
"and Beard, Sherman Vasquez",35799.42
"and Beasley, Daniel Johnson",19004.39
"and Beasley, White Sandoval",25471.61
"and Beck Morgan, Shaw",18494.46
"and Beck Peterson, Perez",44511.07
"and Beck Reyes Clarke,",1885.69
"and Beck, Scott Leblanc",11191.02
"and Becker Baker Owens,",34821.14
"and Becker Holmes Espinoza,",21060.10
"and Bell Dawson, Moore",32905.16
"and Bell Jones, Montes",23560.63
